instance_id,repo,cli_returncode,cli_type,cli_subtype,cli_is_error,cli_stop_reason,resolved,eval_status,eval_returncode,eval_signature,eval_signature_detail,patch_exists,patch_successfully_applied,f2p_total,f2p_success,f2p_failure,f2p_rate,p2p_total,p2p_success,p2p_failure,p2p_rate,regression_rate,cli_duration_ms,cli_duration_api_ms,cli_num_turns,cli_total_cost_usd,cli_model_input_tokens,cli_model_output_tokens,cli_model_cache_read_tokens,cli_model_cache_creation_tokens,trace_request_count,trace_http_error_count,trace_input_tokens_sum,trace_output_tokens_sum,trace_duration_ms_sum,tool_use_count,tool_error_count,tool_counts_by_name,anomaly_flags
conan-io__conan_2.0.14_2.0.15,conan-io/conan,0,result,success,False,end_turn,False,report_available,0,,,True,True,72,0,72,0.0,649,161,488,0.24807395993836673,0.7519260400616333,869964,853388,209,37.6964541,12221323,53442,708192,4906,177,0,12934421,53442,852064,208,2,"{""Bash"": 77, ""Edit"": 74, ""Read"": 57}",[]
conan-io__conan_2.0.2_2.0.3,conan-io/conan,0,result,success,False,end_turn,False,report_available,0,,,True,True,8,0,8,0.0,317,315,2,0.9936908517350158,0.006309148264984227,956374,906987,129,21.424958850000003,6885081,41765,456857,1649,114,0,7343587,41765,906171,128,2,"{""Bash"": 70, ""Edit"": 6, ""Read"": 52}",[]
dask__dask_2022.9.2_2022.10.0,dask/dask,0,result,success,False,end_turn,False,report_available,0,,,True,True,44,13,31,0.29545454545454547,2861,2311,550,0.8077595246417336,0.19224047535826633,1949384,1588169,370,74.07815625,23909392,94214,1385730,138947,482,0,41744189,131395,2457273,516,14,"{""Bash"": 290, ""Edit"": 72, ""Read"": 154}",[]
dask__dask_2023.3.2_2023.4.0,dask/dask,0,result,success,False,end_turn,False,report_available,0,,,True,True,61,3,58,0.04918032786885246,6246,6241,5,0.9991994876721102,0.0008005123278898495,699400,611387,170,27.894517949999994,9044276,36499,680854,2653,170,0,9727783,36499,610395,169,1,"{""Bash"": 85, ""Edit"": 26, ""Read"": 58}",[]
dask__dask_2023.6.0_2023.6.1,dask/dask,0,result,success,False,end_turn,False,report_available,0,,,True,True,105,0,105,0.0,3415,3327,88,0.9742313323572475,0.02576866764275256,11734,460966,2,14.337154200000006,4510479,28224,460524,65120,116,0,5036123,28224,460331,122,1,"{""Bash"": 91, ""Edit"": 7, ""Read"": 24}",[]
dask__dask_2023.6.1_2023.7.0,dask/dask,0,result,success,False,end_turn,False,report_available,0,,,True,True,5,3,2,0.6,707,707,0,1.0,0.0,243943,220942,75,4.648058249999999,1451457,14830,228120,747,57,0,1680324,14830,220646,74,2,"{""Bash"": 44, ""Edit"": 4, ""Read"": 26}",[]
dask__dask_2023.8.0_2023.8.1,dask/dask,0,result,success,False,end_turn,False,report_available,0,,,True,True,11,2,9,0.18181818181818182,2796,2793,3,0.9989270386266095,0.001072961373390558,808342,764683,176,29.028626400000007,9364155,48977,660988,856,165,0,10025999,48977,763604,175,8,"{""Bash"": 99, ""Edit"": 15, ""Read"": 61}",[]
dask__dask_2023.9.2_2023.9.3,dask/dask,0,result,success,False,end_turn,True,report_available,0,,,True,True,2,2,0,1.0,1629,1629,0,1.0,0.0,254649,227995,70,3.90744705,1194878,16215,256281,721,64,0,1451880,16215,227751,69,3,"{""Bash"": 37, ""Edit"": 10, ""Read"": 22}",[]
dask__dask_2024.1.0_2024.1.1,dask/dask,0,result,success,False,end_turn,False,report_available,0,,,True,True,2774,0,2774,0.0,5778,0,5778,0.0,1.0,221479,198244,42,9.492592350000004,3010147,10517,155992,68693,39,0,3234832,10517,197954,41,4,"{""Bash"": 33, ""Edit"": 1, ""Read"": 7}",[]
dask__dask_2024.3.1_2024.4.0,dask/dask,0,result,success,False,end_turn,True,report_available,0,,,True,True,2,2,0,1.0,2747,2747,0,1.0,0.0,98364,75110,27,0.51789465,137345,4959,91928,1039,23,0,230312,4959,75028,26,3,"{""Bash"": 20, ""Edit"": 1, ""Read"": 5}",[]
